Borehole,Elevation(m) -AHD,Lat,Lon,GW-AHD(12/06/22),"Total_Thickness (m)",num_Lithology_type,total_layer,nl_soil,tn_soil,nl_clay,tn_clay,nl_gravel,tn_gravel,nl_sand,tn_sand,nl_shale,tn_shale,nl_topsoil,tn_topsoil,nl_sandy_clay,tn_sandy_clay,nl_sandstone,tn_sandstone,nl_ironstone,tn_ironstone,nl_rock,tn_rock,nl_bedrock,tn_bedrock,nl_boulders,tn_boulders,nl_slate,tn_slate,nl_basalt,tn_basalt,nl_conglomerate,tn_conglomerate,nl_calcarenite,tn_calcarenite,nl_clayey_sand,tn_clayey_sand,nl_loam,tn_loam,nl_siltstone,tn_siltstone,nl_granite,tn_granite,nl_sandy_clay_with_gravel,tn_sandy_clay_with_gravel,nl_coal,tn_coal,nl_claystone,tn_claystone,nl_volcanic,tn_volcanic,nl_silt,tn_slit,nl_colluvium,tn_colluvium,nl_rhyolite,tn_rhyolite,nl_tuff,tn_tuff,nl_alluvium,tn_alluvium,nl_sandy_shale,tn_sandy_shale,nl_mudstone,tn_mudstone,nl_silty_clay,tn_silty_clay,nl_unknown,tn_unknown
GW967137,281.5,30.49747222,150.08122222,252.3260,84,5,12,,,1,19,3,10,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34,2,8,,,,,,,,,,,,,,,,,,
GW967138,313.61,30.49941667,150.15569444,282.6850,89,6,21,,,7,26,7,22,1,4,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,,,,2,11,,,,,,,,,,,,,,,2,20,,
GW968319,349.67,31.36033333,150.4,280.5970,276,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,1,66,,,,,,,,,,
GW969004,301.18,31.33636111,150.45858333,281.6950,27,3,3,,,1,22,,,,,,,1,2,,,,,,,,,1,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW969005,301.24,31.33638889,150.45858333,281.7190,58.56,4,6,,,1,22,2,14.56,2,20,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW969006,301.39,31.3365,150.45855556,281.6670,75.63,7,9,,,1,22,2,15,2,20,,,1,2,,,1,0.6,,,,,1,15.03,,,,,,,,,,,,,,,1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW969007,301.43,31.33644444,150.45855556,281.6930,90,5,7,,,1,18,2,15,2,20,,,1,2,,,,,,,,,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW969008,301.47,31.33641667,150.45855556,284.9330,187.35,5,9,,,,,,,3,30,,,,,,,1,2,,,,,1,125.35,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,
GW969015,351.01,31.36013889,150.40005556,285.9580,248,3,3,,,,,,,,,,,,,,,,,,,,,1,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,1,66,,,,,,,,,,
GW970321,297.23,31.32983333,150.41475,284.6030,186.6,6,8,,,1,6,1,7,2,12,,,1,3,,,,,,,1,153.6,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW970322,297.25,31.32986111,150.41472222,285.8390,42.2,5,6,,,,,1,12.2,,,,,1,3,,,,,,,1,12.2,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,2,8,,,,,,,,,,,,,,,,
GW970323,0,31.32986111,150.41472222,288.9220,21.1,3,7,,,,,,,4,14.1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,
